,0,1
800,2.47e-05,8.6e-06
801,5.525e-05,1.824e-05
802,1.067e-05,5.5e-06
803,1.18e-05,5.07e-06
804,2.32e-05,8.8e-06
805,2.307e-05,8.46e-06
806,6.795e-05,1.52e-05
807,9.3e-06,5.07e-06
808,1.47e-05,6.44e-06
809,1.6e-05,7.1e-06
810,4.63e-05,1.305e-05
811,2.456e-05,7.6e-06
812,1.03e-05,4.95e-06
813,7.4e-06,4.23e-06
814,2.867e-05,8.7e-06
815,1.99e-05,7.2e-06
816,4.303e-05,1.17e-05
817,1.4e-05,5.1e-06
818,1.72e-05,6.5e-06
819,3.37e-05,1.174e-05
820,1.07e-05,4.6e-06
821,1.88e-05,6.44e-06
822,2.533e-05,9.2e-06
823,1.556e-05,8.05e-06
824,2.73e-05,1.204e-05
825,2.84e-05,1.2e-05
826,2.325e-05,1.16e-05
827,6.145e-05,1.377e-05
828,2.354e-05,8.05e-06
829,3.24e-05,1.377e-05
830,3.505e-05,1.25e-05
831,2.88e-05,9.1e-06
832,7.427e-05,1.895e-05
833,1.13e-05,4.9e-06
834,9.3e-06,3.93e-06
835,2.176e-05,9.1e-06
836,2.146e-05,9.06e-06
837,2.486e-05,9.24e-06
838,5.75e-05,2.31e-05
839,2.06e-05,7.75e-06
840,3.07e-05,8.34e-06
841,1.425e-05,6.8e-06
842,1.33e-05,5.54e-06
843,2.265e-05,7.8e-06
844,1.824e-05,6.9e-06
845,1.32e-05,4.95e-06
846,2.545e-05,7.75e-06
847,1.526e-05,5.8e-06
848,3.49e-05,1.19e-05
849,2.1e-05,6.2e-06
850,3.093e-05,1.5e-05
851,1.734e-05,7.45e-06
852,1.98e-05,6.1e-06
853,2.486e-05,7.5e-06
854,8.05e-06,4.65e-06
855,9.9e-06,4.3e-06
856,3.225e-05,1.603e-05
857,2.42e-05,8.1e-06
858,1.675e-05,5.3e-06
859,2.78e-05,1.19e-05
860,2.444e-05,7.75e-06
861,2.277e-05,7.57e-06
862,1.52e-05,7.15e-06
863,4.48e-05,1.23e-05
864,1.85e-05,5.8e-06
865,1.73e-05,5.96e-06
866,1.35e-05,9.83e-06
867,4.47e-05,1.46e-05
868,1.94e-05,7.03e-06
869,2.82e-05,1.174e-05
870,1.556e-05,5.9e-06
871,4.36e-05,1.16e-05
872,1.62e-05,6.6e-06
873,2.205e-05,9.83e-06
874,2.664e-05,7.6e-06
875,1.91e-05,7e-06
876,1.514e-05,4.9e-06
877,1.1e-05,5.3e-06
878,3.04e-05,1.27e-05
